group_id,artifact_id,old_version,new_version,package_name,gem_name,recommendation
io.github.bonigarcia,webdrivermanager,5.0.3,5.8.0,,,Upgrade io.github.bonigarcia:webdrivermanager from 5.0.3 to 5.8.0
org.seleniumhq.selenium,selenium-java,4.1.1,4.20.0,,,Upgrade org.seleniumhq.selenium:selenium-java from 4.1.1 to 4.20.0
info.cukes,cucumber-core,1.2.5,1.2.6,,,Upgrade info.cukes:cucumber-core from 1.2.5 to 1.2.6
io.cucumber,cucumber-junit,7.1.0,7.17.0,,,Upgrade io.cucumber:cucumber-junit from 7.1.0 to 7.17.0
io.cucumber,cucumber-java,6.9.1,7.17.0,,,Upgrade io.cucumber:cucumber-java from 6.9.1 to 7.17.0
,,5.2.1,6.0.0,auditwheel,,Upgrade auditwheel from 5.2.1 to 6.0.0
,,22.7.1,23.6.2,autobahn,,Upgrade autobahn from 22.7.1 to 23.6.2
,,22.10.0,24.4.2,black,,Upgrade black from 22.10.0 to 24.4.2
,,5.0.4,7.0.0,flake8,,Upgrade flake8 from 5.0.4 to 7.0.0
,,3.7.0,3.8.1,flaky,,Upgrade flaky from 3.7.0 to 3.8.1
,,0.982,1.10.0,mypy,,Upgrade mypy from 0.982 to 1.10.0
,,3.5.0,3.6.1,objgraph,,Upgrade objgraph from 3.5.0 to 3.6.1
,,9.3.0,10.3.0,Pillow,,Upgrade Pillow from 9.3.0 to 10.3.0
,,0.3.0,0.3.0,pixelmatch,,
,,2.20.0,3.7.1,pre-commit,,Upgrade pre-commit from 2.20.0 to 3.7.1
,,22.1.0,24.1.0,pyOpenSSL,,Upgrade pyOpenSSL from 22.1.0 to 24.1.0
,,7.2.0,8.2.0,pytest,,Upgrade pytest from 7.2.0 to 8.2.0
,,0.20.1,0.23.6,pytest-asyncio,,Upgrade pytest-asyncio from 0.20.1 to 0.23.6
,,4.0.0,5.0.0,pytest-cov,,Upgrade pytest-cov from 4.0.0 to 5.0.0
,,0.9.1,0.9.3,pytest-repeat,,Upgrade pytest-repeat from 0.9.1 to 0.9.3
,,2.1.0,2.3.1,pytest-timeout,,Upgrade pytest-timeout from 2.1.0 to 2.3.1
,,3.0.2,3.6.1,pytest-xdist,,Upgrade pytest-xdist from 3.0.2 to 3.6.1
,,2.28.1,2.31.0,requests,,Upgrade requests from 2.28.1 to 2.31.0
,,21.1.0,24.1.0,service_identity,,Upgrade service_identity from 21.1.0 to 24.1.0
,,65.5.1,69.5.1,setuptools,,Upgrade setuptools from 65.5.1 to 69.5.1
,,4.0.1,5.0.0,twine,,Upgrade twine from 4.0.1 to 5.0.0
,,22.10.0,24.3.0,twisted,,Upgrade twisted from 22.10.0 to 24.3.0
,,22.1.0.1,24.1.0.20240425,types-pyOpenSSL,,Upgrade types-pyOpenSSL from 22.1.0.1 to 24.1.0.20240425
,,0.38.1,0.43.0,wheel,,Upgrade wheel from 0.38.1 to 0.43.0
,,~> 3.142,4.20.1,,selenium-webdriver,Upgrade selenium-webdriver from ~> 3.142 to 4.20.1
